Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,ETH_Open,ETH_High,ETH_Low,ETH_Close,ETH_Volume,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,GLD_Open,GLD_High,GLD_Low,GLD_Close,GLD_Volume,Silver_Open,Silver_High,Silver_Low,Silver_Close,Silver_Volume,Nifty50_Open,Nifty50_High,Nifty50_Low,Nifty50_Close,Nifty50_Volume,Sensex_Open,Sensex_High,Sensex_Low,Sensex_Close,Sensex_Volume
2023-03-20,28041.6015625,28527.724609375,27242.880859375,27767.236328125,44774027664,1785.416259765625,1807.7252197265625,1728.103759765625,1735.3212890625,10978325507.0,376.06916402579844,379.31215983644114,375.3666994576997,378.8983459472656,93055800.0,184.19000244140625,184.5399932861328,182.74000549316406,183.83999633789062,11845700.0,22.6299991607666,22.719999313354492,22.415000915527344,22.533000946044922,9.0,17066.599609375,17066.599609375,16828.349609375,16988.400390625,241800.0,57773.55078125,57829.23046875,57084.91015625,57628.94921875,6500.0
2023-03-21,27768.392578125,28439.5625,27439.646484375,28175.81640625,36102192830,1735.617919921875,1836.28857421875,1725.00732421875,1806.7607421875,10758627746.0,382.2663494662777,384.35456598955216,380.6689183022078,383.8734130859375,91524200.0,182.64999389648438,182.72999572753906,179.89999389648438,180.3699951171875,10734500.0,22.56999969482422,22.600000381469727,22.204999923706055,22.323999404907227,58.0,17060.400390625,17127.69921875,17016.0,17107.5,246700.0,57963.26953125,58133.328125,57730.08984375,58074.6796875,5500.0
2023-03-22,28158.720703125,28803.3359375,26759.99609375,27307.4375,33382021890,1804.95703125,1821.458251953125,1717.76513671875,1737.717041015625,12484103560.0,383.70032508905524,387.3185760861018,377.2913628844689,377.329833984375,111746600.0,180.39999389648438,183.94000244140625,180.27999877929688,183.44000244140625,11969600.0,22.68000030517578,23.065000534057617,22.649999618530273,22.674999237060547,22.0,17177.44921875,17207.25,17107.849609375,17151.900390625,0.0,58245.26171875,58418.78125,58063.5,58214.58984375,0.0
2023-03-23,27301.95703125,28729.84375,27183.36328125,28333.97265625,24220433689,1737.140869140625,1853.8880615234375,1732.524658203125,1816.4051513671875,11012966854.0,380.1974338773298,384.239130397535,375.6361133164018,378.3498229980469,119351300.0,183.91000366210938,186.24000549316406,183.60000610351562,185.74000549316406,11347100.0,23.143999099731445,23.143999099731445,23.143999099731445,23.143999099731445,0.0,17097.400390625,17205.400390625,17045.30078125,17076.900390625,219200.0,58061.41015625,58396.171875,57838.8515625,57925.28125,5100.0
2023-03-24,28324.111328125,28388.4375,27039.265625,27493.28515625,25980310960,1815.81982421875,1819.935302734375,1730.3494873046875,1752.0447998046875,10913669383.0,377.06996076940004,380.9191845780308,374.7219318967555,380.83258056640625,107682400.0,185.61000061035156,185.99000549316406,183.6199951171875,183.64999389648438,9245900.0,23.246999740600586,23.246999740600586,23.246999740600586,23.246999740600586,15.0,17076.19921875,17109.44921875,16917.349609375,16945.05078125,228000.0,57890.66015625,58066.3984375,57422.98046875,57527.1015625,6400.0
2023-03-25,27487.337890625,27791.826171875,27196.234375,27494.70703125,13383005987,1751.469482421875,1762.674560546875,1716.6519775390625,1743.7647705078125,6614309912.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-26,27495.5234375,28178.14453125,27445.046875,27994.330078125,13878363192,1743.8421630859375,1797.8802490234375,1741.182861328125,1775.6767578125,6990313307.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,27994.068359375,28037.92578125,26606.689453125,27139.888671875,18188895178,1775.4813232421875,1781.3792724609375,1690.5166015625,1715.4608154296875,8585750760.0,383.11324113581304,383.88310351821207,380.6497402466303,381.544677734375,74010400.0,181.14999389648438,182.14999389648438,180.69000244140625,181.9499969482422,6925000.0,23.054000854492188,23.054000854492188,23.054000854492188,23.054000854492188,0.0,16984.30078125,17091.0,16918.55078125,16985.69921875,218400.0,57566.8984375,58019.55078125,57415.01953125,57653.859375,6000.0
2023-03-28,27132.888671875,27460.71875,26677.818359375,27268.130859375,17783600385,1715.327392578125,1791.1109619140625,1702.564697265625,1772.78564453125,8346890042.0,380.85177745390115,381.5446388438139,378.85019419817775,380.6882019042969,62871700.0,182.30999755859375,183.6199951171875,182.1199951171875,183.44000244140625,6202600.0,23.094999313354492,23.323999404907227,23.094999313354492,23.323999404907227,36.0,17031.75,17061.75,16913.75,16951.69921875,238800.0,57751.5,57949.44921875,57494.91015625,57613.71875,4500.0
2023-03-29,27267.03125,28619.54296875,27259.662109375,28348.44140625,20684945906,1772.89990234375,1825.6009521484375,1772.89990234375,1793.0018310546875,9136176952.0,384.855070038873,386.4621341412586,383.65218741851754,386.2215576171875,77497900.0,182.49000549316406,183.27000427246094,182.24000549316406,182.52999877929688,4996500.0,23.375999450683594,23.375999450683594,23.375999450683594,23.375999450683594,188.0,16977.30078125,17126.150390625,16940.599609375,17080.69921875,345900.0,57572.078125,58124.19921875,57524.3203125,57960.08984375,5900.0
2023-03-30,28350.140625,29159.90234375,27720.16015625,28033.5625,22435349951,1793.345947265625,1827.2802734375,1766.2489013671875,1792.7371826171875,9724496987.0,388.85822473969705,389.1084336951085,386.61606470017716,388.4829406738281,69840000.0,182.75,184.44000244140625,182.5500030517578,184.17999267578125,6360300.0,23.985000610351562,23.985000610351562,23.604999542236328,23.902000427246094,93.0,,,,,,,,,,
2023-03-31,28032.26171875,28639.896484375,27583.71484375,28478.484375,19001327598,1793.6201171875,1844.6773681640625,1783.1422119140625,1822.0220947265625,9149379763.0,389.40668731548556,394.25671700401034,389.30081840141827,393.9584045410156,112062600.0,184.11000061035156,184.4199981689453,182.8000030517578,183.22000122070312,8003300.0,23.8700008392334,24.165000915527344,23.8700008392334,24.076000213623047,34.0,17210.349609375,17381.599609375,17204.650390625,17359.75,263900.0,58273.859375,59068.46875,58273.859375,58991.51953125,6500.0
2023-04-01,28473.33203125,28802.45703125,28297.171875,28411.03515625,10876469901,1821.704345703125,1840.173095703125,1811.1185302734375,1813.860595703125,5556443606.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-02,28462.845703125,28518.958984375,27884.087890625,28199.30859375,12284641999,1821.192138671875,1824.328857421875,1774.8724365234375,1795.7081298828125,6199721188.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-03,28183.080078125,28475.623046875,27276.720703125,27790.220703125,19556501327,1794.9224853515625,1839.1578369140625,1765.5189208984375,1810.297119140625,9643826401.0,393.4387769608017,395.86377728046097,393.04422801384897,395.4596252441406,67391100.0,183.85000610351562,185.0399932861328,183.32000732421875,184.5399932861328,9206600.0,23.725000381469727,24.06999969482422,23.69499969482422,23.94099998474121,26.0,17427.94921875,17428.05078125,17312.75,17398.05078125,230200.0,59131.16015625,59204.8203125,58793.078125,59106.44140625,4300.0
2023-04-04,27795.2734375,28433.7421875,27681.3046875,28168.08984375,15284538859,1810.14208984375,1886.5946044921875,1802.9554443359375,1871.005126953125,10398322335.0,396.10441021722386,396.3931196515644,391.8895050342017,393.265625,66601500.0,184.72000122070312,188.22999572753906,184.66000366210938,187.97999572753906,13765400.0,24.415000915527344,25.084999084472656,24.415000915527344,25.02199935913086,24.0,,,,,,,,,,
2023-04-05,28169.7265625,28739.23828125,27843.763671875,28177.984375,17052315986,1870.965087890625,1937.49755859375,1865.94189453125,1909.114013671875,10319231689.0,392.53421336625786,393.29444326978927,390.58073351331996,392.23590087890625,65200200.0,188.33999633789062,188.86000061035156,186.77999877929688,187.8300018310547,11440800.0,25.114999771118164,25.145000457763672,24.790000915527344,24.96299934387207,74.0,17422.30078125,17570.55078125,17402.69921875,17557.05078125,248300.0,59094.7109375,59747.12109375,59094.3984375,59689.30859375,5000.0
2023-04-06,28175.2265625,28178.384765625,27738.759765625,28044.140625,13837809380,1909.1435546875,1909.271728515625,1857.0850830078125,1872.922607421875,8263191830.0,391.43713711455257,394.04500709302937,390.38822726994033,393.76593017578125,63743300.0,186.88999938964844,187.25999450683594,185.9499969482422,186.49000549316406,6648400.0,24.670000076293945,25.030000686645508,24.670000076293945,25.024999618530273,0.0,17533.849609375,17638.69921875,17502.849609375,17599.150390625,242700.0,59627.01171875,59950.05859375,59520.12109375,59832.96875,4700.0
2023-04-07,28038.966796875,28111.59375,27794.03125,27925.859375,10861680497,1872.734130859375,1882.2991943359375,1845.993896484375,1865.6361083984375,8356130492.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-08,27920.513671875,28159.86328125,27883.38671875,27947.794921875,9373255556,1864.6790771484375,1879.1077880859375,1848.87548828125,1849.4981689453125,5016362733.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-09,27952.3671875,28532.830078125,27828.48046875,28333.05078125,12175322951,1849.6722412109375,1873.057373046875,1828.7000732421875,1859.3878173828125,6361497715.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,28336.02734375,29771.46484375,28189.271484375,29652.98046875,19282400094,1859.7412109375,1917.3001708984375,1848.1641845703125,1911.20751953125,8380134275.0,391.28315699096,394.24707537446494,390.6672965345812,394.1700744628906,63681000.0,185.17999267578125,185.36000061035156,184.19000244140625,185.11000061035156,6408100.0,24.850000381469727,24.850000381469727,24.84600067138672,24.84600067138672,8.0,17634.900390625,17694.099609375,17597.94921875,17624.05078125,254800.0,59858.98046875,60109.109375,59766.23046875,59846.51171875,11000.0
2023-04-11,29653.6796875,30509.083984375,29609.30078125,30235.05859375,20121259843,1911.3758544921875,1936.728271484375,1886.5341796875,1892.189697265625,8877222956.0,394.7956544202573,395.6809594619992,393.5061679518089,394.2760009765625,59297900.0,185.91000366210938,186.50999450683594,185.63999938964844,186.27999877929688,6031500.0,24.959999084472656,25.15999984741211,24.959999084472656,25.131000518798828,16.0,17704.80078125,17748.75,17655.150390625,17722.30078125,304300.0,60028.6015625,60267.6796875,59919.87890625,60157.71875,6900.0
2023-04-12,30231.58203125,30462.48046875,29725.57421875,30139.052734375,18651929926,1891.94970703125,1929.8812255859375,1860.036865234375,1920.68212890625,11010714187.0,396.3449304189456,396.63363981226826,392.0819222861502,392.6689147949219,86420400.0,187.5399932861328,187.66000366210938,185.97000122070312,187.19000244140625,10000900.0,25.165000915527344,25.584999084472656,25.165000915527344,25.40399932861328,14.0,17759.55078125,17825.75,17717.25,17812.400390625,232800.0,60180.19921875,60437.640625,60094.69140625,60392.76953125,5900.0
2023-04-13,29892.740234375,30539.845703125,29878.623046875,30399.06640625,17487721001,1917.6983642578125,2022.150146484375,1901.8603515625,2012.6346435546875,12546950499.0,393.75631259262076,398.2406615136449,392.6111662470231,397.8846130371094,85814800.0,189.75999450683594,190.41000366210938,188.99000549316406,189.72000122070312,14060100.0,25.540000915527344,25.950000762939453,25.540000915527344,25.874000549316406,12.0,17807.30078125,17842.150390625,17729.650390625,17828.0,285800.0,60364.41015625,60486.91015625,60081.4296875,60431.0,6600.0
2023-04-14,30409.5625,31005.607421875,30044.498046875,30485.69921875,22659995079,2013.9306640625,2126.316650390625,2011.5032958984375,2101.635498046875,16298099411.0,397.24953269593004,399.44358917464797,394.6031912280039,396.9127197265625,78161500.0,188.0800018310547,188.49000549316406,185.1699981689453,186.36000061035156,13272500.0,25.799999237060547,25.899999618530273,25.34000015258789,25.423999786376953,28.0,,,,,,,,,,
2023-04-15,30490.75,30601.740234375,30245.8828125,30318.49609375,11940685378,2101.616455078125,2111.075439453125,2076.5107421875,2092.466796875,8036468153.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-16,30315.9765625,30555.537109375,30157.83203125,30315.35546875,12854816417,2092.281005859375,2137.445068359375,2076.83203125,2120.005859375,7898126856.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,30317.146484375,30319.197265625,29275.37109375,29445.044921875,17872186762,2120.001220703125,2120.113525390625,2063.03857421875,2076.242919921875,9648882546.0,396.8261475266993,398.3562106467558,395.59439693756417,398.33697509765625,66436400.0,185.88999938964844,185.92999267578125,184.10000610351562,185.52999877929688,7468100.0,25.05299949645996,25.05299949645996,25.05299949645996,25.05299949645996,0.0,17863.0,17863.0,17574.05078125,17706.849609375,357400.0,60385.8984375,60407.859375,59442.46875,59910.75,15200.0
2023-04-18,29449.091796875,30470.302734375,29154.849609375,30397.552734375,19480529496,2075.855224609375,2121.531494140625,2057.65380859375,2104.537353515625,9134015143.0,399.9150951800139,400.0498321097644,397.2206502574761,398.59674072265625,63560000.0,185.24000549316406,186.99000549316406,185.0399932861328,186.25,8056900.0,25.18000030517578,25.299999237060547,25.15999984741211,25.24799919128418,44.0,17766.599609375,17766.599609375,17610.19921875,17660.150390625,258900.0,59991.26171875,60113.46875,59579.30078125,59727.01171875,7300.0
2023-04-19,30394.1875,30411.0546875,28669.8984375,28822.6796875,24571565421,2103.9462890625,2104.857177734375,1928.5828857421875,1936.4034423828125,13779745451.0,396.6817177607652,399.43389838923747,396.62398175927586,398.52935791015625,55227300.0,184.35000610351562,185.5800018310547,184.27999877929688,185.36000061035156,7373500.0,24.80500030517578,25.365999221801758,24.80500030517578,25.365999221801758,33.0,17653.349609375,17666.150390625,17579.849609375,17618.75,281500.0,59745.890625,59745.890625,59452.71875,59567.80078125,7800.0
2023-04-20,28823.68359375,29076.400390625,28037.2578125,28245.98828125,21340360360,1936.41796875,1979.5733642578125,1918.1328125,1943.09765625,11324135406.0,395.70985629299514,398.10601828904817,394.8052862710272,396.3546142578125,75840400.0,186.13999938964844,187.02999877929688,185.77999877929688,186.08999633789062,5789900.0,25.229999542236328,25.368000030517578,25.225000381469727,25.368000030517578,2.0,17638.599609375,17684.44921875,17584.349609375,17624.44921875,215100.0,59586.609375,59836.7890625,59489.98046875,59632.3515625,6600.0
2023-04-21,28249.23046875,28349.96875,27177.365234375,27276.91015625,20759504330,1943.409912109375,1955.649169921875,1827.7889404296875,1849.9998779296875,12044274581.0,396.65290416377644,397.1244246963598,394.7090566567866,396.66253662109375,73457400.0,184.97999572753906,185.67999267578125,183.22000122070312,184.25,10698700.0,25.165000915527344,25.18000030517578,25.05299949645996,25.05299949645996,19.0,17639.75,17663.19921875,17553.94921875,17624.05078125,230200.0,59538.7890625,59781.359375,59412.80859375,59655.05859375,5700.0
2023-04-22,27265.89453125,27872.142578125,27169.5703125,27817.5,13125734602,1849.2864990234375,1886.7816162109375,1845.8492431640625,1874.2286376953125,6970642726.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-23,27816.14453125,27820.244140625,27400.314453125,27591.384765625,12785446832,1874.1715087890625,1882.229736328125,1838.992431640625,1862.06201171875,6607451862.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,27591.73046875,27979.982421875,27070.849609375,27525.33984375,17703288330,1862.0853271484375,1888.1937255859375,1811.7921142578125,1842.7574462890625,8438191338.0,396.4604040641478,397.4997108968018,395.1228141148149,397.0762939453125,64332100.0,184.07000732421875,185.02999877929688,183.4600067138672,184.80999755859375,8303400.0,25.049999237060547,25.305999755859375,25.024999618530273,25.305999755859375,2.0,17707.55078125,17754.5,17612.5,17743.400390625,255700.0,59873.7109375,60101.640625,59620.109375,60056.1015625,6600.0
2023-04-25,27514.873046875,28371.078125,27207.931640625,28307.59765625,17733373139,1842.204345703125,1877.4849853515625,1805.3228759765625,1866.753662109375,8677255481.0,395.1035702020275,395.6617241074058,390.7154573508528,390.773193359375,97766700.0,184.83999633789062,186.22000122070312,184.3000030517578,185.75,8451900.0,25.19499969482422,25.19499969482422,24.75,24.87700080871582,4.0,17761.55078125,17807.44921875,17716.849609375,17769.25,297400.0,60202.76953125,60268.671875,59967.01953125,60130.7109375,6500.0
2023-04-26,28300.05859375,29995.837890625,27324.548828125,28422.701171875,31854242019,1866.14892578125,1962.567626953125,1792.4638671875,1866.564208984375,14356524696.0,391.3890687387205,392.46684668077467,388.55988695720504,389.1180114746094,80447000.0,186.6300048828125,186.64999389648438,184.3000030517578,184.74000549316406,8203600.0,25.1299991607666,25.1299991607666,24.871000289916992,24.871000289916992,64251.0,17767.30078125,17827.75,17711.19921875,17813.599609375,233000.0,60087.98046875,60362.7890625,59954.91015625,60300.578125,4500.0
2023-04-27,28428.46484375,29871.546875,28402.88671875,29473.787109375,27153445027,1866.6932373046875,1936.9451904296875,1863.14794921875,1908.786376953125,14008145806.0,391.65857511674506,397.13409906910863,391.4083661380691,396.8646545410156,92968400.0,183.89999389648438,184.99000549316406,183.3800048828125,184.75,9107400.0,24.975000381469727,25.209999084472656,24.565000534057617,24.982999801635742,8978.0,17813.099609375,17931.599609375,17797.900390625,17915.05078125,241400.0,60315.55859375,60698.30859375,60271.48828125,60649.37890625,5500.0
2023-04-28,29481.013671875,29572.791015625,28929.609375,29340.26171875,17544464887,1909.2730712890625,1923.19921875,1876.2918701171875,1892.5128173828125,7691759733.0,395.97928167060974,400.26155506482286,395.92154566069996,400.2519226074219,89433100.0,184.7899932861328,185.3800048828125,184.1699981689453,184.8000030517578,6700400.0,24.954999923706055,25.110000610351562,24.78499984741211,24.999000549316406,1039.0,17950.400390625,18089.150390625,17885.30078125,18065.0,290300.0,60721.609375,61209.4609375,60507.828125,61112.44140625,7200.0
2023-04-29,29336.56640625,29452.455078125,29088.04296875,29248.48828125,10662634333,1892.5650634765625,1916.9737548828125,1887.990478515625,1908.9169921875,4796651246.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-30,29245.515625,29952.029296875,29114.021484375,29268.806640625,14652199272,1908.7413330078125,1938.41796875,1876.92431640625,1876.92431640625,6539641957.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-01,29227.103515625,29329.935546875,27680.79296875,28091.568359375,18655599976,1868.89111328125,1886.2064208984375,1809.1932373046875,1831.954833984375,8625783201.0,399.8092473425676,401.8781992260224,399.61677440898023,399.8477478027344,62122300.0,186.0500030517578,186.22000122070312,183.91000366210938,183.97000122070312,7997700.0,25.06999969482422,25.959999084472656,25.009000778198242,25.009000778198242,452.0,,,,,,,,,,
2023-05-02,28087.17578125,28881.298828125,27924.123046875,28680.537109375,16432924527,1831.7265625,1879.759521484375,1824.3270263671875,1870.789306640625,7536785767.0,399.1356765936417,399.1838095173126,392.44766705242614,395.35382080078125,103998500.0,184.64999389648438,187.63999938964844,184.52000427246094,187.52000427246094,14680600.0,24.735000610351562,25.520000457763672,24.600000381469727,25.40399932861328,127.0,18124.80078125,18180.25,18101.75,18147.650390625,265200.0,61301.609375,61486.23828125,61255.0,61354.7109375,6700.0
2023-05-03,28680.494140625,29259.533203125,28178.388671875,29006.30859375,19122972518,1870.6871337890625,1915.504150390625,1845.871826171875,1904.65185546875,8306390869.0,395.85420490253955,398.2696024994155,392.3995296872918,392.6401062011719,91531800.0,187.61000061035156,189.2100067138672,186.92999267578125,189.11000061035156,11133800.0,25.424999237060547,25.594999313354492,25.190000534057617,25.47599983215332,256.0,18113.80078125,18116.349609375,18042.400390625,18089.849609375,226200.0,61274.9609375,61274.9609375,61024.44140625,61193.30078125,6100.0
